nm,soil_11,soil_14,soil_16-1,soil_23,soil_66kyr,soil_7,soil_9
350,0.107387915,0.105459787,0.175626159,0.172047287,0.063592389,0.061051592,0.084418647
351,0.098513402,0.096003346,0.169894367,0.16424866,0.052524298,0.05319256,0.075992405
352,0.102105573,0.097344577,0.170082256,0.165962622,0.055927373,0.054770164,0.077667639
353,0.104025126,0.097575814,0.169296041,0.166884854,0.058205228,0.055734377,0.078856692
354,0.102920361,0.096466146,0.168290824,0.166381925,0.057572979,0.055666473,0.07846728
355,0.102795012,0.098636977,0.171142936,0.167785838,0.057796497,0.058130376,0.079247907
356,0.103049867,0.09931238,0.17164591,0.167336851,0.058102868,0.058202814,0.079649299
357,0.102943607,0.097884141,0.170101121,0.165691003,0.057491008,0.056209441,0.078621268
358,0.101885207,0.095295168,0.16854623,0.164598569,0.055530079,0.05394733,0.075895064
359,0.101077333,0.096164092,0.169486418,0.165885419,0.056860477,0.054133739,0.075836681
360,0.101039141,0.097026415,0.171203956,0.16743125,0.058144815,0.054906078,0.076739527
361,0.101572238,0.09542647,0.171687171,0.167432025,0.056838807,0.054446474,0.076702781
362,0.100462489,0.093671843,0.168507457,0.165436015,0.054169677,0.051785622,0.07468579
363,0.100687854,0.094153777,0.167930841,0.16563952,0.054513585,0.051942669,0.074238293
364,0.102246538,0.096200109,0.170581833,0.168036059,0.057481784,0.054647908,0.07572253
365,0.100400791,0.094299272,0.168588921,0.166144505,0.055472154,0.051358264,0.074805155
366,0.100073971,0.093228929,0.168650001,0.165828571,0.053777151,0.049901623,0.074391551
367,0.101486124,0.094336115,0.170982867,0.167495623,0.054209366,0.051323719,0.075077415
368,0.102353737,0.097309202,0.17243129,0.168726176,0.057059631,0.053195123,0.076366469
369,0.102709942,0.096881308,0.172598079,0.169669613,0.057441611,0.053295642,0.075874396
370,0.103526346,0.096149713,0.17312181,0.170781836,0.057246767,0.052911516,0.075556643
371,0.105684288,0.09931571,0.175638422,0.172492683,0.059461668,0.054033112,0.077885211
372,0.107150115,0.100275375,0.17667982,0.173901871,0.06017201,0.055497993,0.079842784
373,0.107115135,0.099464133,0.176932156,0.174734816,0.059748702,0.056010589,0.079974264
374,0.105840951,0.098327078,0.177335843,0.175036311,0.059127603,0.055173296,0.078270137
375,0.106149063,0.099007361,0.178017333,0.175415128,0.059337322,0.055122536,0.078160323
376,0.107119143,0.100175053,0.179293782,0.17617549,0.060375098,0.055447351,0.078854568
377,0.107836775,0.10077022,0.180703238,0.177104026,0.061473258,0.055743564,0.079476327
378,0.107104272,0.09973903,0.180352494,0.177045867,0.060364321,0.055622656,0.07883627
379,0.107255682,0.099644989,0.180946007,0.178008467,0.06042299,0.055218149,0.078649677
380,0.107711188,0.100056641,0.182075053,0.179317147,0.061144527,0.054491304,0.078597702
381,0.106287114,0.09888643,0.181653425,0.178812742,0.059918925,0.053344559,0.077275403
382,0.106818356,0.099761471,0.182576329,0.17969586,0.059711494,0.053423483,0.078009419
