Age,dO18,1std
0,999,999
1,999,999
2,0.86,0.06
3,0.87,0.06
4,0.73,0.19
5,0.79,0.23
6,0.76,0.21
7,0.7,0.2
8,0.68,0.21
9,0.62,0.24
10,0.56,0.29
11,0.5,0.35
12,0.43,0.4
13,0.32,0.48
14,0.23,0.55
15,0.14,0.59
16,0.03,0.59
17,-0.06,0.6
18,-0.14,0.61
19,-0.2,0.62
20,-0.25,0.63
21,-0.3,0.64
22,-0.35,0.65
23,-0.38,0.65
24,-0.39,0.62
25,-0.39,0.6
26,-0.39,0.6
27,-0.41,0.53
28,-0.47,0.37
29,-0.51,0.27
30,-0.51,0.27
31,-0.5,0.28
32,-0.52,0.2
33,-0.55,0.11
34,-0.59,0.18
35,-0.58,0.18
36,-0.58,0.18
37,-0.58,0.19
38,-0.57,0.19
39,-0.53,0.18
40,-0.5,0.19
41,-0.47,0.21
42,-0.46,0.21
43,-0.45,0.21
44,-0.41,0.23
45,-0.36,0.39
46,-0.4,0.3
47,-0.42,0.18
48,-0.42,0.16
49,-0.39,0.16
50,-0.36,0.15
51,-0.34,0.15
52,-0.35,0.13
53,-0.37,0.11
54,-0.38,0.1
55,-0.36,0.11
56,-0.34,0.12
57,-0.32,0.12
58,-0.31,0.11
59,-0.29,0.1
60,-0.28,0.1
61,-0.28,0.1
62,-0.27,0.09
63,-0.27,0.1
64,-0.28,0.11
65,-0.28,0.14
66,-0.29,0.15
67,-0.31,0.14
68,-0.32,0.14
69,-0.31,0.16
70,-0.27,0.14
71,-0.23,0.13
72,-0.21,0.15
73,-0.22,0.15
74,-0.24,0.16
75,-0.25,0.17
76,-0.24,0.16
77,-0.24,0.14
78,-0.23,0.11
79,-0.26,0.09
80,-0.31,0.14
81,-0.33,0.2
82,-0.34,0.27
83,-0.34,0.33
84,-0.32,0.33
85,-0.28,0.29
86,-0.24,0.26
87,-0.19,0.24
88,-0.14,0.22
89,-0.08,0.23
90,0,0.27
91,0.1,0.31
92,0.15,0.33
93,0.18,0.31
94,0.18,0.31
95,0.14,0.32
96,0.11,0.3
97,0.13,0.24
98,0.17,0.25
99,0.19,0.28
100,0.2,0.29
101,0.18,0.25
102,0.14,0.2
103,0.13,0.17
104,0.12,0.17
105,0.13,0.15
106,0.14,0.13
107,0.17,0.14
108,0.21,0.16
109,0.23,0.15
110,0.25,0.13
111,0.27,0.14
112,0.27,0.14
113,0.28,0.14
114,0.29,0.16
115,0.32,0.14
116,0.34,0.11
117,0.35,0.09
118,0.37,0.14
119,0.42,0.24
120,0.44,0.29
121,0.46,0.28
122,0.5,0.28
123,0.55,0.33
124,0.55,0.34
125,0.57,0.32
126,0.61,0.29
127,0.65,0.29
128,0.68,0.35
129,0.7,0.31
130,0.75,0.21
131,0.77,0.14
132,0.76,0.21
133,0.66,0.3
134,0.54,0.36
135,0.39,0.45
136,0.26,0.51
137,0.14,0.57
138,0.06,0.63
139,-0.02,0.67
140,-0.11,0.63
141,-0.23,0.53
142,-0.34,0.46
143,-0.43,0.4
144,-0.49,0.33
145,-0.56,0.25
146,-0.63,0.18
147,-0.69,0.11
148,-0.71,0.1
149,-0.69,0.11
150,-0.63,0.1
151,-0.59,0.13
152,-0.55,0.17
153,-0.54,0.18
154,-0.53,0.17
155,-0.5,0.15
156,-0.47,0.15
157,-0.44,0.16
158,-0.45,0.13
159,-0.46,0.13
160,-0.45,0.09
161,-0.44,0.08
162,-0.42,0.07
163,-0.41,0.07
164,-0.44,0.07
165,-0.44,0.1
166,-0.43,0.14
167,-0.4,0.17
168,-0.41,0.16
169,-0.42,0.14
170,-0.43,0.13
171,-0.43,0.14
172,-0.42,0.17
173,-0.39,0.16
174,-0.38,0.19
175,-0.36,0.23
176,-0.33,0.24
177,-0.29,0.24
178,-0.26,0.27
179,-0.24,0.29
180,-0.22,0.3
181,-0.2,0.33
182,-0.18,0.36
183,-0.17,0.37
184,-0.17,0.37
185,-0.16,0.34
186,-0.16,0.28
187,-0.13,0.24
188,-0.09,0.24
189,-0.06,0.23
190,-0.05,0.21
191,-0.08,0.21
192,-0.09,0.22
193,-0.07,0.21
194,-0.05,0.23
195,-0.02,0.27
196,-0.02,0.26
197,-0.02,0.25
198,0.03,0.26
199,0.11,0.27
200,0.18,0.28
201,0.25,0.23
202,0.3,0.19
203,0.33,0.22
204,0.33,0.22
205,0.35,0.15
206,0.38,0.19
207,0.36,0.19
208,0.38,0.19
209,0.4,0.24
210,0.45,0.29
211,0.48,0.29
212,0.51,0.22
213,0.48,0.23
214,0.47,0.33
215,0.48,0.32
216,0.5,0.26
217,0.48,0.24
218,0.46,0.22
219,0.45,0.14
220,0.42,0.18
221,0.38,0.25
222,0.36,0.28
223,0.31,0.28
224,0.25,0.29
225,0.18,0.27
226,0.11,0.25
227,0.05,0.28
228,0.03,0.29
229,0.02,0.28
230,0.03,0.31
231,0,0.3
232,-0.04,0.28
233,-0.07,0.3
234,-0.1,0.33
235,-0.12,0.37
236,-0.14,0.42
237,-0.11,0.46
238,-0.06,0.48
239,-0.01,0.49
240,0.03,0.48
241,0.07,0.44
242,0.08,0.39
243,0.08,0.37
244,0.1,0.36
245,0.16,0.35
246,0.25,0.34
247,0.29,0.36
248,0.29,0.44
249,0.25,0.43
250,0.15,0.36
251,0.08,0.36
252,0.09,0.32
253,0.09,0.32
254,0.07,0.3
255,0.03,0.3
256,-0.03,0.28
257,-0.09,0.3
258,-0.12,0.32
259,-0.13,0.32
260,-0.14,0.32
261,-0.15,0.33
262,-0.17,0.28
263,-0.15,0.29
264,-0.13,0.32
265,-0.16,0.28
266,-0.19,0.26
267,-0.21,0.25
268,-0.21,0.25
269,-0.21,0.27
270,-0.19,0.28
271,-0.18,0.28
272,-0.19,0.28
273,-0.21,0.29
274,-0.22,0.3
275,-0.22,0.3
276,-0.22,0.29
277,-0.21,0.3
278,-0.2,0.34
279,-0.19,0.38
280,-0.18,0.38
281,-0.14,0.36
282,-0.11,0.36
283,-0.09,0.34
284,-0.08,0.33
285,-0.07,0.31
286,-0.02,0.33
287,0.02,0.35
288,0.04,0.33
289,0.05,0.32
290,0.07,0.29
291,0.08,0.22
292,0.08,0.18
293,0.08,0.17
294,0.07,0.17
295,0.07,0.2
296,0.08,0.21
297,0.1,0.21
298,0.12,0.21
299,0.13,0.22
300,0.12,0.23
301,0.09,0.2
302,0.06,0.17
303,0.03,0.13
304,-0.02,0.12
305,-0.02,0.17
306,0.01,0.23
307,0.01,0.27
308,0.02,0.31
309,0.03,0.32
310,0.06,0.3
311,0.07,0.29
312,0.08,0.27
313,0.11,0.25
314,0.14,0.26
315,0.17,0.31
316,0.22,0.36
317,0.25,0.38
318,0.27,0.37
319,0.3,0.35
320,0.35,0.29
321,0.4,0.22
322,0.46,0.23
323,0.53,0.28
324,0.59,0.36
325,0.61,0.44
326,0.62,0.48
327,0.64,0.51
328,0.66,0.53
329,0.64,0.53
330,0.61,0.53
331,0.6,0.53
332,0.6,0.52
333,0.6,0.48
334,0.65,0.42
335,0.68,0.43
336,0.57,0.44
337,0.44,0.4
338,0.35,0.35
339,0.32,0.33
340,0.31,0.32
341,0.27,0.36
342,0.22,0.37
343,0.11,0.39
344,-0.02,0.43
345,-0.08,0.43
346,-0.13,0.38
347,-0.19,0.31
348,-0.24,0.26
349,-0.26,0.22
350,-0.31,0.2
351,-0.37,0.21
352,-0.42,0.21
353,-0.44,0.18
354,-0.45,0.16
355,-0.45,0.18
356,-0.46,0.2
357,-0.44,0.21
358,-0.39,0.22
359,-0.34,0.23
360,-0.29,0.23
361,-0.27,0.22
362,-0.26,0.22
363,-0.25,0.24
364,-0.23,0.24
365,-0.18,0.24
366,-0.16,0.27
367,-0.15,0.31
368,-0.14,0.35
369,-0.13,0.38
370,-0.13,0.4
371,-0.13,0.41
372,-0.1,0.41
373,-0.07,0.41
374,-0.01,0.41
375,0.02,0.42
376,0.04,0.44
377,0.05,0.46
378,0.06,0.45
379,0.08,0.43
380,0.11,0.41
381,0.15,0.39
382,0.16,0.39
383,0.17,0.4
384,0.18,0.41
385,0.17,0.41
386,0.16,0.42
387,0.17,0.41
388,0.21,0.39
389,0.25,0.37
390,0.28,0.36
391,0.3,0.37
392,0.3,0.37
393,0.32,0.32
394,0.33,0.28
395,0.33,0.26
396,0.32,0.27
397,0.34,0.28
398,0.36,0.3
399,0.41,0.28
400,0.5,0.29
401,0.57,0.31
402,0.6,0.32
403,0.64,0.31
404,0.67,0.28
405,0.69,0.26
406,0.7,0.25
407,0.72,0.24
408,0.74,0.25
409,0.76,0.26
410,0.77,0.28
411,0.77,0.26
412,0.77,0.24
413,0.76,0.24
414,0.76,0.25
415,0.74,0.29
416,0.7,0.33
417,0.61,0.34
418,0.52,0.31
419,0.47,0.3
420,0.44,0.34
421,0.4,0.38
422,0.32,0.42
423,0.21,0.43
424,0.1,0.46
425,0.01,0.46
426,-0.07,0.45
