yrBP ,d18O
0,-2.2
-999,-999
-999,-202
-999,-191
-999,-176
2500,-2.2
2500,-199
2500,-191
2500,-181
-999,-999
5000,-2.27
5000,-202
5000,-196
5000,-192
7375,-1.96
7375,-170
7375,-168
7375,-161
-999,-999
9275,-2.03
9275,-173
12305,-1.64
12305,-151
12305,-118
-999,-999
14980,-1.45
14980,-115
17655,-1.33
17655,-124
17655,-123
17655,-95
17655,-93
17655,-78
-999,-999
21400,-1.26
21400,-109
21400,-104
21400,-85
21400,-84
22000,-1.32
22000,-128
22000,-95
22000,-82
-999,-999
23400,-1.42
23400,-120
23400,-113
23400,-104
24000,-1.37
24000,-119
24000,-105
24000,-98
-999,-999
29638.9,-1.49
29638.9,-121
29638.9,-117
32055.5,-1.47
32055.5,-133
32055.5,-125
32055.5,-92
36888.9,-1.61
36888.9,-133
36888.9,-128
40111.1,-1.53
40111.1,-154
40111.1,-119
40111.1,-118
40111.1,-116
40111.1,-108
-999,-999
-999,-999
45750,-1.66
45750,-146
45750,-139
45750,-136
45750,-124
48166.7,-1.64
48166.7,-141
48166.7,-136
48166.7,-125
53000,-1.73
53000,-155
53000,-147
53000,-138
53000,-131
-999,-999
54200,-1.68
54200,-141
54200,-137
54200,-136
-999,-999
56000,-1.65
56000,-139
56000,-130
57200,-1.66
57200,-145
57200,-133
57200,-129
-999,-999
59000,-1.58
59000,-135
59000,-120
65000,-1.42
65000,-136
65000,-119
65000,-104
65000,-94
-999,-999
68692.3,-1.54
68692.3,-133
68692.3,-115
69615.4,-1.77
69615.4,-163
69615.4,-154
69615.4,-125
-999,-999
72588.2,-1.92
72588.2,-166
72588.2,-164
72588.2,-156
74705.9,-2.03
74705.9,-179
74705.9,-172
74705.9,-168
-999,-999
78411.8,-2.11
78411.8,-187
78411.8,-182
78411.8,-174
80000,-2.12
80000,-192
80000,-177
80000,-176
-999,-999
83878.6,-1.97
83878.6,-173
83878.6,-167
83878.6,-161
86464.3,-2.08
86464.3,-190
86464.3,-175
86464.3,-168
-999,-999
91635.7,-2.06
91635.7,-191
91635.7,-174
91635.7,-171
91635.7,-168
92928.6,-2.02
92928.6,-186
92928.6,-167
92928.6,-164
96807.1,-2.13
96807.1,-191
96807.1,-187
96807.1,-170
-999,-999
99392.9,-2.03
99392.9,-177
99392.9,-171
99392.9,-170
-999,-999
103918,-2.01
103918,-185
103918,-179
103918,-162
103918,-159
105857,-2.12
105857,-185
105857,-183
105857,-178
-999,-999
109736,-2.05
109736,-185
109736,-171
109736,-169
112321,-2.01
112321,-178
112321,-168
112321,-167
-999,-999
116200,-2.33
116200,-210
116200,-206
116200,-193
118778,-2.31
118778,-214
118778,-202
118778,-188
-999,-999
122000,-2.4
122000,-222
122000,-206
122000,-203
125000,-2.26
125000,-211
125000,-196
125000,-180
-999,-999
128000,-1.6
128000,-130
-999,-999
132961,-1.4
132961,-122
132961,-119
132961,-88
137020,-1.2
137020,-108
137020,-86
137020,-77
-999,-999
-999,-999
141980,-1.14
141980,-96
141980,-79
141980,-77
-999,-999
146490,-1.08
146490,-78
-999,-999
151000,-1.03
151000,-73
-999,-999
158097,-1.34
158097,-104
-999,-999
163903,-1.57
163903,-127
-999,-999
171000,-1.42
171000,-112
-999,-999
175000,-1.49
175000,-119
-999,-999
179000,-1.36
179000,-106
183000,-1.21
183000,-91
-999,-999
194000,-2
194000,-70
-999,-999
199238,-1.94
199238,-164
-999,-999
205000,-1.88
205000,-158
-999,-999
208300,-2.06
208300,-176
-999,-999
215450,-2.08
215450,-178
-999,-999
222400,-1.72
222400,-142
228000,-1.41
-999,-999
238000,-1.99
238000,-169
-999,-999
-999,-999
242020,-1.89
242020,-159
-999,-999
245362,-1.56
245362,-126
-999,-999
249000,-1.25
249000,-95
-999,-999
256600,-1.43
256600,-113
-999,-999
265125,-1.28
265125,-98
269000,-0.98
269000,-68
-999,-999
-999,-999
281857,-1.6
281857,-130
287000,-1.73
287000,-143
-999,-999
-999,-999
299000,-1.43
299000,-113
-999,-999
303047,-1.66
303047,-136
-999,-999
306871,-2.06
306871,-176
-999,-999
310000,-2.16
310000,-186
-999,-999
320000,-1.95
320000,-165
-999,-999
324605,-2.14
324605,-184
327674,-2.27
327674,-197
-999,-999
-999,-999
332683,-2.28
332683,-198
-999,-999
335792,-2.02
335792,-172
-999,-999
-999,-198
-999,-999
341000,-1
341000,-70
-999,-999
347222,-1.19
347222,-89
354222,-1.38
354222,-108
-999,-999
-999,-999
362436,-1.9
362436,-160
364400,-1.87
364400,-157
-999,-999
366800,-1.99
366800,-169
-999,-999
370852,-1.95
370852,-165
-999,-999
375000,-1.73
375000,-143
-999,-999
385000,-2.08
385000,-178
-999,-999
395000,-1.94
395000,-164
-999,-999
401316,-2.16
401316,-186
-999,-999
407369,-2.26
407369,-196
-999,-999
420400,-2.03
420400,-173
-999,-999
-999,-181
434000,-0.98
-999,-999
439200,-0.94
-999,-177
-999,-999
461000,-1.2
461000,-186
471000,-1.12
-999,-999
-999,-68
-999,-999
474250,-1.32
474250,-64
477500,-1.66
477500,-999
-999,-90
-999,-999
-999,-82
481000,-1.97
-999,-999
-999,-102
491500,-2.1
-999,-999
-999,-136
502000,-1.91
-999,-999
513000,-1.43
-999,-167
524000,-1.84
524000,-999
-999,-180
528667,-1.71
528667,-999
-999,-161
-999,-999
533800,-1.52
533800,-113
538000,-1.34
538000,-154
-999,-141
545700,-1.45
552000,-1.51
552000,-999
-999,-122
-999,-104
563000,-1.3
565500,-1.76
565500,-999
-999,-115
-999,-121
568617,-1.71
571167,-1.91
571167,-999
-999,-100
574000,-2.16
574000,-146
585000,-1.58
585000,-999
-999,-141
590500,-1.76
590500,-161
596000,-1.98
596000,-186
-999,-128
-999,-146
-999,-168
-999,-999
-999,-142
-999,-168
-999,-96
-999,-58
-999,-999
