,Q1,Q1.5a,Q2,Q2.5a,Q2.5b,Q3,Q4,Q5,Q6,Q7,Q8 (modern)
B1_mean,-1.6417574588087283,-1.6793704802227674,-1.6825228171567896,-1.5870622366152143,-1.6039045494697646,-1.5452854753613772,-1.7914772247468846,-1.5720071317248463,-1.6632577379897544,-1.5734168563738826,-1.4831579793028775
B2_mean,-1.697852449471532,-1.7237371280230733,-1.7428111929431909,-1.6455545885118392,-1.6493169441417541,-1.6643160104544292,-1.8388025587573016,-1.6360261572651438,-1.7301108725527876,-1.6407505986130047,-1.563460138358889
B3_mean,-1.7063175320436361,-1.722567881321813,-1.7515177749510418,-1.6547269700327052,-1.6598523135653365,-1.6866346065174946,-1.8366116149291136,-1.6445341500205177,-1.7481753311412034,-1.653153019461456,-1.5739316429674592
B4_mean,-1.6636067935004595,-1.6757746383096803,-1.7027881344815798,-1.6042532799574003,-1.6019606820170535,-1.642328559190037,-1.788769038225246,-1.5968237006617827,-1.693570388508063,-1.5969362090976238,-1.507621587580935
B5_mean,-1.6279795922101128,-1.6364504316016186,-1.6581700546932936,-1.565938091132989,-1.5773032028561533,-1.567172796183088,-1.750197945733398,-1.5447198515417166,-1.646191456751321,-1.5453436934867912,-1.4557121406923013
B6_mean,-1.5613843949929902,-1.5768912180677253,-1.588777786432312,-1.5068517948580802,-1.519364811734095,-1.5052664913317098,-1.6796796173142268,-1.473781157424041,-1.5733101854250628,-1.4764824973514743,-1.3826346817703836
B7_mean,-1.5048186404279018,-1.5201424317887096,-1.531462834331782,-1.4538023860109155,-1.4584606773552957,-1.4460332556683213,-1.619178366783629,-1.4169792595275106,-1.514677890208428,-1.4164930520585932,-1.320758980050526
B8_mean,-1.472144744257359,-1.488084458934053,-1.5013154301357357,-1.4280027132376973,-1.4292344753152504,-1.430379346460135,-1.5838681681537665,-1.3867998867000333,-1.4830727851935632,-1.3876153314274144,-1.2877559930111855
B9_mean,-1.4480341960809069,-1.4680616260799395,-1.4796408245497867,-1.41240733161041,-1.4071330951701928,-1.4231574252150663,-1.5611119773684432,-1.366872196701152,-1.4614828615056776,-1.3680093423226491,-1.2713210226789735
B10_mean,-1.400953251145948,-1.4196063620678798,-1.4330683055402453,-1.368818784053412,-1.3628503762652298,-1.3728896900640073,-1.51232919456138,-1.3190354610846973,-1.4144000624896622,-1.3174911598828465,-1.2182349996934578
B11_mean,-1.3580265508372185,-1.3768811911296943,-1.3897569032043129,-1.3337033088622747,-1.3222726656981447,-1.323988218141708,-1.4660262368850705,-1.2747132117530946,-1.3677247021177104,-1.2733294185903363,-1.1759393446069413
B12_mean,-1.3533152942454232,-1.3695130186094795,-1.3835906012069632,-1.3280660736575671,-1.315810994756064,-1.324936412937054,-1.455318912030778,-1.2683835170551967,-1.3641963135362936,-1.2676941219486537,-1.1721828023577878
B13_mean,-1.298569743728053,-1.3158946952798187,-1.3296438927493868,-1.2736598705404651,-1.2675445002680474,-1.2625800686699937,-1.403163649005829,-1.2103934507636354,-1.3048053032265776,-1.2071020631524927,-1.107639379453906
B14_mean,-1.2661996737423638,-1.2817763016407537,-1.2932634808517507,-1.23964864607716,-1.2313822021579794,-1.2392419222778939,-1.3701940151282377,-1.1753040427631523,-1.2702244160556828,-1.1697615124364844,-1.0731879742653672
B15_mean,-1.2030339962540189,-1.2229239098539895,-1.2304956319917135,-1.1792959800082858,-1.1707928876197886,-1.171686281819421,-1.3077820884324145,-1.1104188526672987,-1.2071141756805113,-1.103965563718435,-1.0005612133232324
