,Q1,Q1.5a,Q2,Q2.5a,Q2.5b,Q3,Q4,Q5,Q6,Q7,Q8 (modern)
B1_mean,-0.9896904616466907,-2.9141591926046884,-1.0288214795984294,-0.5888428792111332,-0.3400752149360699,2.214012159766285,-1.722551500760258,2.378011303867022,0.06701063823722536,2.0901632880402667,1.5592868385624479
B2_mean,-0.7839697129863874,-2.64621325669753,-0.9466068208068108,-0.5470162402101836,0.07686943076721775,1.3032958308584253,-1.6458306201440915,2.502779010690731,0.02745350372784334,2.1168667534889014,1.429791010932876
B3_mean,-0.7471844056796112,-2.450037573500941,-0.940354396640693,-0.5404250334624359,0.057941114287425204,1.0701721992677102,-1.5587237173809068,2.5501483445574347,-0.2004387476389937,2.0732368460341783,1.4232838111250046
B4_mean,-0.9653284573594313,-2.45303739526869,-0.9422175338161317,-0.5500943402939037,0.17246968969569396,0.9495231807868423,-1.4944644362431758,2.3703177981726338,-0.06999559613173792,2.0759656078909425,1.4834058895665858
B5_mean,-1.2266464248648041,-2.47567315403368,-0.9929890142107947,-0.5939356186137326,-0.24343940010684423,1.4119228634958971,-1.5482646184959352,2.426714611659578,-0.08605078770283939,2.1776282624358787,1.5748038470406336
B6_mean,-1.2058828187199797,-2.480269307558523,-0.9570565025774952,-0.6344259336336664,-0.38825192091214306,1.23554583969807,-1.4803507962543703,2.396613710344448,-0.016648008780935183,2.155655901156707,1.662898547110193
B7_mean,-1.2164057161645916,-2.4025606868405522,-1.001362098252848,-0.6556583829853078,-0.2901347940787555,1.1842220191916681,-1.4355633663886935,2.2748371962907536,-0.06476580735410241,2.1233743127608684,1.6783068273542832
B8_mean,-1.1021782629697914,-2.301273075162925,-0.9915032256179579,-0.6845933197770149,-0.27925514272819313,0.9191847901447238,-1.3740008876498624,2.242654718972934,-0.04435031116251586,2.074035957121962,1.6914027675111576
B9_mean,-0.9504103621227031,-2.248810259605416,-0.9457704116267915,-0.7144607992535927,-0.19347988843995398,0.6862789283069148,-1.3465822618550252,2.2301902912024345,-0.023750073647065117,2.068414266729024,1.6646751802269868
B10_mean,-0.9432235363637334,-2.156970822278064,-0.9847547683325021,-0.736324574360529,-0.2505910982676581,0.6877261727691083,-1.3137155232102935,2.153672780679702,-0.07527051409729173,2.0638445610439264,1.6874790795105097
B11_mean,-0.9367878719117915,-2.080173856558653,-1.0373100110513573,-0.8001776884473019,-0.25789178716785854,0.7036854883320532,-1.2973960227400672,2.110581486487289,-0.08293384457070437,2.054108971671719,1.707271403968073
B12_mean,-0.9515809843547882,-2.032385849183268,-1.026133560732282,-0.7870059638475896,-0.22785669236331002,0.586362297034052,-1.255208613150263,2.1207335155323244,-0.1373272911997178,2.055771287388368,1.6911850627411438
B13_mean,-0.9626611086431414,-1.9991838331474205,-1.0773348268752905,-0.7700763943907833,-0.38742692862504624,0.6545630494885873,-1.2536358452546703,2.0617179762122495,-0.09299420751319919,2.0661214529724194,1.724878468486605
B14_mean,-0.9858109747283353,-1.949435589899829,-0.9940223717338328,-0.747755633115106,-0.33362092191578807,0.4831378689219569,-1.2273651938041434,2.0294341005863634,-0.07251453362320205,2.0843633526910446,1.6970856434258208
B15_mean,-0.9576212440506903,-1.9456150642819934,-1.0070500710803094,-0.7449747853869596,-0.3746540951593932,0.5128541734094147,-1.2010360611833997,1.9599317366363846,-0.10979584692304067,2.043989184591824,1.7279056969106763
B16_mean,-0.929299951388182,-1.8913337677427426,-1.0619749440447888,-0.6636004136546588,-0.35239208026524244,0.3938245998096969,-1.1662349389274442,1.922745884706314,-0.1019753124816214,2.029919891338931,1.6898886940104678
B17_mean,-0.9680325790663822,-1.8916456230575587,-1.0469889463862698,-0.6275069231812959,-0.4521051193354906,0.3443422162888425,-1.124488672360617,1.8750389695586016,-0.08760346147451285,2.0346213661409753,1.7156272547726605
B18_mean,-1.0312836438723818,-1.894924322126562,-1.043551651129031,-0.5473457581127915,-0.4685021850631243,0.32602540643999345,-1.096170151185327,1.8324595448222212,-0.10930220776833617,2.013188363413665,1.7113934751849886
B19_mean,-1.0072878288661262,-1.9196500157028973,-1.1643498512853754,-0.4577170882385765,-0.4885125603867496,0.36578239088001496,-1.0709209361568754,1.81001930951954,-0.16037634671940013,2.006117832706736,1.6976092843543231
B20_mean,-0.9871990057538658,-1.9698238202022194,-1.1293935595067417,-0.35235812941933975,-0.5828919006967513,0.4053737671471507,-1.0892187970155451,1.7822726709867573,-0.15186247058945287,2.011702842570834,1.6877773167515278
B21_mean,-0.9199490647657789,-1.9771563083862496,-1.1448460420149589,-0.2582702526183912,-0.5314366188283797,0.3617669188836886,-1.0834004797137013,1.7957680787347567,-0.2044598572305408,1.972133170898308,1.637917055466796
B22_mean,-0.907884881274993,-1.9846423747219397,-1.1839655776568658,-0.14988950029395004,-0.533114906446461,0.525596696343962,-1.1327882150117252,1.7681873987861834,-0.2719470692264654,1.971265634915449,1.591969753118754
B23_mean,-0.8262153079405062,-1.9721344233818303,-1.185268957089441,-0.04108546200711863,-0.5292269401450745,0.5691557680914523,-1.1567803776647874,1.7548504362528752,-0.32961157172307415,1.9293596347627546,1.5357053577837665
B24_mean,-0.7634073750469105,-1.9865070819505328,-1.156277326765662,0.07139481224719127,-0.523448949498685,0.5374880549794423,-1.1700688958088747,1.7272184732274074,-0.3239009721917615,1.9290588838514466,1.478380561430294
B25_mean,-0.6685943910056652,-1.9307126226229314,-1.1144191516038546,0.1546961337225709,-0.4204429381653704,0.43114291487553025,-1.1552653404537299,1.7053490564405558,-0.3953232813030399,1.8800544234567023,1.3980062240295084
B26_mean,-0.5772245462142814,-1.9302705105446665,-1.1307523361814888,0.1976603724456933,-0.4157490369808993,0.531819790296839,-1.191484747430745,1.6681378999830951,-0.4149276468433271,1.8349552617402298,1.3735875186739552
B27_mean,-0.4383363712798104,-1.85342829402112,-1.1089674139501624,0.2703973644082103,-0.3782751743540943,0.361144569347775,-1.1456693877918291,1.6032634141356388,-0.4505924858100169,1.8139465383525668,1.3036479299313166
B28_mean,-0.34509638623012034,-1.795606690772318,-1.0374802526889892,0.3117150747374155,-0.3914278237685791,0.31734369449010685,-1.1530140920509473,1.5454836489856534,-0.4402057774048575,1.7578472042912996,1.2704544072642139
B29_mean,-0.2415853393489023,-1.6858831712514541,-0.9732799288280691,0.34793806702624286,-0.3429651166318648,0.23248567431130074,-1.1424947047028946,1.4701534153848637,-0.46628600244297275,1.7018786612724601,1.2075501829093316
B30_mean,-0.1723891435847377,-1.6236024872136354,-0.9985809092065868,0.39346402982736806,-0.3823888621616338,0.2784211817102455,-1.135688689681261,1.3963792389902367,-0.5122412747836862,1.668747362336564,1.1824291268974105
B31_mean,-0.00734166074890245,-1.5438697110798765,-0.9126974120223463,0.4024127928433256,-0.3050093523718327,0.13119467647171848,-1.1305254553566506,1.3418018769045408,-0.4843892370762573,1.6294437215634494,1.111004586034591
B32_mean,0.05472706701497258,-1.475872485431547,-0.8606048219072858,0.4449507025458406,-0.33357819585761955,0.059499913426427645,-1.0983386783223605,1.2975868766017384,-0.5277557005578365,1.5994879447318606,1.071426582835257
B33_mean,0.10159889357820613,-1.4235948330374955,-0.8347430744360209,0.48583231226339085,-0.3887461148192709,0.12337050121623645,-1.1231844165610403,1.2351324878039456,-0.5190296502099544,1.5681477588735349,1.0484715488308556
B34_mean,0.1921953999731605,-1.3787467201370864,-0.7837565038668822,0.5277930099370866,-0.3898888422779829,0.030349985502975255,-1.082738415763486,1.1728587458765494,-0.5401003261159698,1.5224014804167787,1.0088085997214913
B35_mean,0.34309459939104314,-1.2801797320270438,-0.7607245592584821,0.5674922890099258,-0.3356391993386964,-0.07441900856697198,-1.0444858934921466,1.077326701492044,-0.5329995787031375,1.447858546366583,0.9296240039787623
B36_mean,0.47019788323476924,-1.1574246682445763,-0.6959357709127038,0.6402700279222601,-0.2542711412929909,-0.234715361061026,-0.9534949247444794,0.9670482989802689,-0.572348668292175,1.301898275217417,0.8240760840275723
B37_mean,0.44833702961081134,-1.1581982232347663,-0.7536486044621302,0.7189120212395236,-0.3903634442839915,-0.07059968737662835,-0.94952925975794,0.9306022055985407,-0.667132979733817,1.2704744015006701,0.8426778349069123
B38_mean,0.6228648025092377,-1.0560992220299517,-0.7296253583678586,0.7357363454117235,-0.25228806163594963,-0.34157611318553077,-0.8120259197193836,0.8439394109832078,-0.6823029644629661,1.1509306795551573,0.7316444040199601
B39_mean,0.6682951228252683,-0.9463010029303864,-0.7733434468322061,0.808300932188817,-0.2428805106986253,-0.371875002547961,-0.716980844168127,0.7437116306514445,-0.7372843195639929,1.0219711525367847,0.6555219138759679
B40_mean,0.5108106072506109,-0.9992959078628245,-0.8499791903401251,0.9060060100777825,-0.5973564494785322,0.045225105995110114,-0.8322162889761207,0.7323411914985826,-0.7790004807133842,1.0716157458674593,0.7749168180279356
B41_mean,0.5271241971638383,-0.9328071748867602,-0.8794157953786734,0.9061553333566463,-0.6239913546235083,0.11067157404258635,-0.7985906624069392,0.6569816413894163,-0.8454397524199068,0.9983297855853625,0.777537558291933
B42_mean,0.6930389380465285,-0.839644672607473,-0.8253168567420727,0.8669613684651126,-0.445466139003162,-0.22043898523905905,-0.662726284159243,0.6084350183745612,-0.8300387163277624,0.8960374759163608,0.6767926257001354
B43_mean,0.9477241460436042,-0.5169760245073349,-0.6951338230039174,0.8369341660401093,-0.24747170538688776,-0.5439079723320835,-0.43887116323092673,0.36999450179159005,-0.8203737021004787,0.701118972473308,0.4055823317075441
B44_mean,0.5703098113422028,-0.686976016759188,-0.7926734470796886,0.9564616150593758,-0.825788859512229,0.20345445746703775,-0.7508084987588385,0.44043273667054117,-0.867867935836656,0.8696984532181499,0.7186360708413637
B45_mean,0.8174825973569783,-0.639766267977046,-0.7003110052524161,0.8478517058038675,-0.41283498998191276,-0.30645155689786197,-0.5863002748899384,0.4415444670508713,-0.8404392891365687,0.7578628875334786,0.5775218452687454
B46_mean,0.8024547997692726,-0.5709002346339392,-0.6796496644048672,0.8287462865347525,-0.5211902737644689,-0.18759694632428767,-0.6174233409342789,0.400058305567555,-0.8630238398291112,0.7179389824286505,0.616032604777465
B47_mean,0.855952198540771,-0.48281004522718773,-0.6321093273859729,0.8087176797618544,-0.46030754854237166,-0.3561740218259591,-0.5069552353644627,0.3446371021320345,-0.8650532639304355,0.6293936438317964,0.5480708412958248
