,Q1,Q1.5a,Q2,Q2.5a,Q2.5b,Q3,Q4,Q5,Q6,Q7,Q8 (modern)
B1_mean,-1.998406583509186,-2.2202967681670587,-2.0265788913858516,-1.091639444017517,-0.9081378724404824,0.18840315735308058,-2.0343196964198182,1.0663225412414394,-1.907681010647558,0.9520458675447067,1.8193709401993143
B2_mean,-1.7443020765057233,-1.9691024872274268,-1.9511119352331985,-0.8789953527251061,-0.4227981789225933,-0.6204776938196909,-1.9963667521856934,1.5004727696585511,-1.9226441648220536,1.335163268223016,1.8060783628215538
B3_mean,-1.6670758345927015,-1.8017401195061529,-1.8982007808010215,-0.8427399563239579,-0.41153753845353375,-0.7905884375013149,-1.8947272701883275,1.6578095764250604,-2.04966697942904,1.324285018557133,1.8028648056180323
B4_mean,-1.8164471215249207,-1.799329464795121,-1.8556010713162507,-0.8771733822417429,-0.33043596094086963,-0.8544673557973906,-1.8049697284617905,1.3390111672138307,-1.882931278530349,1.3155338268527896,1.8417755118752053
B5_mean,-2.0619246366882455,-1.864836545162093,-1.865108008492843,-1.0797405197768046,-0.7927509405338632,-0.4133034273875719,-1.7968209481646085,1.2829047348897908,-1.8510619577995784,1.2464109163715535,1.7789455379585704
B6_mean,-2.105886879331818,-1.914730094094149,-1.8614111222971517,-1.2383262191695201,-0.9961538516038754,-0.5876363102803677,-1.7304160282241046,1.0879299553745339,-1.8086909192422067,0.9710422647770037,1.7715709604779835
B7_mean,-2.0201730312560326,-1.8350725213240398,-1.762416065158964,-1.2738980804376863,-0.9106492525380631,-0.5037821387271367,-1.6069594602279555,0.974784974481793,-1.6826547621177317,0.9494527022516936,1.6927368825576996
B8_mean,-1.8804176873608056,-1.7487178960135539,-1.6834828271612141,-1.2944862543024858,-0.8830432527638279,-0.6411515654444377,-1.514506454768741,0.9988602640152907,-1.5744012136995227,0.9199198515789729,1.6739041294685262
B9_mean,-1.7361911061486528,-1.707744886026081,-1.5906644083690364,-1.3421131062176352,-0.8261971892056936,-0.7451984531567558,-1.4448827666108506,1.0200512835952606,-1.4696230776535404,0.9146203636703629,1.5711597999855724
B10_mean,-1.716027691850528,-1.6566061197468687,-1.5721626840230314,-1.3897938832503185,-0.8827483783473258,-0.6950841363262102,-1.3910409740441423,0.9104987995636553,-1.4511701224161875,0.8756299233317388,1.537703310599842
B11_mean,-1.6868495579477436,-1.6161637582995756,-1.5413820781310086,-1.4851294226024159,-0.9068323262371195,-0.61248122383299,-1.335875004679142,0.8642550003467312,-1.378722564920051,0.8251159450807595,1.4781154061211645
B12_mean,-1.6426147279618721,-1.5637202949401272,-1.4845743516353793,-1.4359169928702886,-0.8523335361059474,-0.6424594775023388,-1.2814780764546885,0.9626063795378413,-1.3507160298840744,0.9251753167350127,1.4691468863942667
B13_mean,-1.6627096273284414,-1.5641926817622405,-1.498707482173249,-1.45954422187154,-0.9902128247694091,-0.5749133033612939,-1.2657471107403635,0.8430994154878486,-1.3043776532678235,0.8612617327866456,1.4430167811106793
B14_mean,-1.6773048782922806,-1.5317382657654237,-1.4686811129880473,-1.4242586172339067,-0.9457714291661425,-0.7124584104388975,-1.2580541528410547,0.802634455765556,-1.3059136495625865,0.9137983889104253,1.4367224645948269
B15_mean,-1.6410595960698826,-1.5328647266489182,-1.4354539853810817,-1.4387123860945212,-0.9816227996274915,-0.6393713921612104,-1.2126310689188728,0.7250994245667806,-1.2756015035131634,0.8301351773018005,1.4176988808943989
B16_mean,-1.5934436818184277,-1.4804468416047216,-1.44666841222138,-1.3167814031187723,-0.9321085593256884,-0.7128760319757474,-1.1885374174245644,0.729934584870194,-1.2561614074138778,0.8985522275694973,1.419851277531668
B17_mean,-1.6485927048194196,-1.4988540934719115,-1.4646782545265968,-1.3097860919250712,-1.0233821624636352,-0.7741619733951638,-1.1733221167134205,0.6095139125009518,-1.2766170041782863,0.8342666101919071,1.4280396119407985
B18_mean,-1.6738480153344928,-1.498624497642169,-1.4451665452411184,-1.2318690581921412,-1.0316249451976887,-0.7642850596708057,-1.144500899399825,0.5683710821745614,-1.2668171389939387,0.8070958500435156,1.4091007463966958
B19_mean,-1.6134593669303212,-1.5015042911352834,-1.438716353626039,-1.145826509588688,-1.0311274492797087,-0.6584278882312647,-1.0917248145063576,0.6066313805582224,-1.2173573819187784,0.835858195231009,1.3532176850119588
B20_mean,-1.6061442691592664,-1.5293761286523644,-1.4279310930493982,-1.0447097324637544,-1.092064762163327,-0.637438423984217,-1.1058616750750463,0.5625980348596427,-1.218962725697286,0.8395506337477053,1.3447181372139816
B21_mean,-1.5524859857936737,-1.52953447060391,-1.414390336215742,-0.9561269943899706,-1.0551943471257987,-0.6421985882808368,-1.0901650870276,0.6035971349053191,-1.2239655497001,0.7905098509017325,1.2776786780605278
B22_mean,-1.5256862427097349,-1.5310551623462554,-1.3985986612652759,-0.8662213848147604,-1.0544089794878424,-0.48927787541534007,-1.09882698583412,0.597188332520961,-1.2197199589559795,0.7965894621021392,1.1987089399073292
B23_mean,-1.4286821547667004,-1.504673769198722,-1.339520744814959,-0.7524397367959278,-1.0243820257406524,-0.3927308456144262,-1.0799982103599446,0.6640415672254986,-1.1778559612922677,0.8097405790488542,1.1289755060208513
B24_mean,-1.3793409010425761,-1.507999762191191,-1.305385192219561,-0.6530839180689748,-1.0160404440926547,-0.38866201099561176,-1.074831374352762,0.652812793395913,-1.1465748062228576,0.8243739441424595,1.0577194479452003
B25_mean,-1.266355656235118,-1.454351884987484,-1.2176453055394814,-0.5604581960751711,-0.9194556001094328,-0.3787079416477219,-1.0282865598927964,0.7299653087612062,-1.098571339938493,0.8538495890413772,0.9722210942195831
B26_mean,-1.2127335935138586,-1.457579827771497,-1.2058651777966942,-0.5444388781020002,-0.9234870220494306,-0.2896870447203489,-1.0351073436509224,0.6936092206839412,-1.0822366631288767,0.7759910183295238,0.9221543631146566
B27_mean,-1.0797354120444809,-1.3921330391476114,-1.13468080971475,-0.4521577635656155,-0.861801334033384,-0.32826240993320127,-0.9773668690107808,0.7190377282764877,-1.023997806993296,0.8608298508916482,0.864986632207007
B28_mean,-1.0205259468391052,-1.3609394716906031,-1.0900936149516287,-0.41753314992041735,-0.8644864114511626,-0.337764860848518,-0.9728010055505162,0.6689177081817701,-0.9986968469282859,0.7965870246753778,0.8282800301918984
B29_mean,-0.9350878271913057,-1.2975984280197734,-1.0200906294894652,-0.3873714813694881,-0.8208717907348424,-0.33682349852910076,-0.9418521926312039,0.6423437408430207,-0.9546081766138327,0.7725256007888099,0.7593073637832891
B30_mean,-0.871103519105536,-1.2615565518079366,-0.9825129679827491,-0.3624190695820298,-0.8313906020703938,-0.24754431184301554,-0.9090240672558534,0.6210937395291947,-0.912613275171276,0.7730651314062982,0.717873166953236
B31_mean,-0.7534989151592101,-1.2065142504181186,-0.9172292068043582,-0.32923433531902924,-0.7619165454314208,-0.3022863732774095,-0.8916467932721129,0.6190141899860296,-0.8604350958456264,0.7949584677044974,0.6679499271976234
B32_mean,-0.7034373712234193,-1.1736438822947417,-0.8562007602628009,-0.31346120198531735,-0.7720567544572997,-0.28888388717266483,-0.8491470842815453,0.6238914658240982,-0.8245261204068929,0.7875081742890674,0.6123197818353062
B33_mean,-0.6746672839831993,-1.14837392784556,-0.8375322016881626,-0.28063657609912873,-0.7981212476019589,-0.2402674980330659,-0.8569469949222537,0.5664030936527772,-0.8082314394334286,0.7570668369867595,0.5900523837758247
B34_mean,-0.6074478539573821,-1.1165023320319345,-0.7962582295937327,-0.23062428142734573,-0.7806779872684939,-0.27052199559383583,-0.8257155211863826,0.538213904020029,-0.792321348829224,0.7467326353338456,0.5646292413280848
B35_mean,-0.5039527124415659,-1.0571943390679746,-0.7590829638454301,-0.1779187494023026,-0.7283824585880282,-0.2993526119258098,-0.7923640913263229,0.4865593488716253,-0.7534374462835302,0.7145642129814813,0.5065834052760005
B36_mean,-0.3839008101091323,-0.9771626326867127,-0.6662070465818384,-0.09546801755448206,-0.6427505931245903,-0.3064135046720538,-0.7106407376740388,0.4928211055501677,-0.6831144939860437,0.6590856373951096,0.4296731766885151
B37_mean,-0.4566740722657863,-1.0206707379189353,-0.7157848758714253,-0.11851197889386109,-0.7708055552682355,-0.22777186765342877,-0.7154026811602039,0.37691887938189017,-0.7516570776663558,0.4838793584423175,0.3869984937510937
B38_mean,-0.344836305323466,-0.9527312815732165,-0.7045466679519429,-0.051623010834425664,-0.6707143393514697,-0.393002247369274,-0.6503639551663997,0.29972497295051004,-0.7670011734190906,0.3846783629517743,0.32282834191067483
B39_mean,-0.3180059366540731,-0.9052881758425843,-0.7075275777347231,-0.001335469122084201,-0.6635690009481137,-0.3893226058486519,-0.5952871130858995,0.21283150664652653,-0.7735343658680185,0.23440466824722603,0.25158246298883835
B40_mean,-0.4838618375910357,-0.9958138935612841,-0.7668650851628096,-0.0642473212322703,-0.9277452704636606,-0.1626946097530901,-0.6585776710565745,0.11010966912628502,-0.8092628119246081,0.11581157259747739,0.2671086814249686
B41_mean,-0.4899975558454411,-0.985419353449815,-0.7633435494780935,-0.11109025388543144,-0.9552695213676518,-0.09988344628341936,-0.6320495714484831,0.047123312153223865,-0.8116923658602434,0.008621296285361428,0.24180599960514562
B42_mean,-0.3840558030560126,-0.9275216188671225,-0.7242381213894764,-0.10657169213398236,-0.841281606439684,-0.26103004446940126,-0.5595903623965569,0.04097926198802904,-0.7838336002032263,-0.051546403706201525,0.17949449879186694
B43_mean,-0.1219090369448901,-0.6969266108110779,-0.5941687253587206,0.040399735602330095,-0.6164149738385847,-0.3743464890703991,-0.41857189961305946,-0.02349427192119907,-0.6987853578948611,0.0017990137177040309,0.057442824750060496
B44_mean,-0.4457279775991566,-0.8911445855245149,-0.6670445321531417,-0.11527631143731913,-1.0338160280457518,0.03897789368150979,-0.5739729596210831,-0.0529594791006993,-0.7211241694365923,-0.05701613763977152,0.17618322980995338
B45_mean,-0.26433557974037103,-0.8070063415306661,-0.6333157528814132,-0.058764632916923555,-0.7713816031732619,-0.2628686292106415,-0.5037368396939825,-0.03421002208009727,-0.737270942095693,-0.08337920261833612,0.13885492292232837
B46_mean,-0.29189517108385526,-0.8032652084216455,-0.6126982468773462,-0.12806345440004177,-0.844071572072732,-0.16570350067633913,-0.5094562648650666,-0.05547281401135153,-0.7159975711637312,-0.14740402860100763,0.1416709888896664
B47_mean,-0.23320624267221424,-0.7424208925226893,-0.5797232512240597,-0.09776030168122221,-0.7844842572921223,-0.24664327942425732,-0.4518176499786405,-0.07605404161946845,-0.7045421586648943,-0.18971503324422384,0.113611566406425
B48_mean,-0.07269489903217177,-0.6211906403742524,-0.5060846200617478,-0.020367280684501478,-0.595229381145366,-0.4507556590225951,-0.3895291373351353,-0.12450259139529327,-0.6757357557262476,-0.20593126780070656,0.06080687558177837
B49_mean,-0.20135759698166927,-0.683835791468287,-0.5327556960550406,-0.11408840584322683,-0.8098210789288466,-0.20490039234557378,-0.43588423800380705,-0.1343931861339668,-0.6743970816656293,-0.25958610027850676,0.09546975800113972
B50_mean,-0.20855362797339222,-0.6594229135824724,-0.5255995476326135,-0.12314591531537988,-0.8454244625938679,-0.18809970753720784,-0.43898077451673584,-0.1923270743534308,-0.7018941185809716,-0.32055185890188326,0.08861898033111829
B51_mean,-0.13231682805186326,-0.5960402543987378,-0.4891710837588106,-0.1288861697072437,-0.7517770975682077,-0.26121456810018157,-0.4069127775534829,-0.2064979828326596,-0.6879630902362851,-0.38692998100456955,0.0425298809804719
B52_mean,-0.10624110521884327,-0.5594460083790076,-0.4543537067101061,-0.1508025959194295,-0.7631126364435274,-0.22118899572654102,-0.3765471117241868,-0.24685344430613493,-0.6684893229491341,-0.40527022342212315,0.02348477255977406
B53_mean,-0.06080107991833031,-0.5021388080745811,-0.44603676379802193,-0.1273810931372516,-0.7478877085815392,-0.26206543343556205,-0.36335500037120255,-0.32271700875483283,-0.6891789515756253,-0.46855014977836484,0.0066486192617879174
B54_mean,-0.030936815110730525,-0.47215797756441125,-0.4000800964156248,-0.1291129818430186,-0.7157319350923013,-0.2608369069325095,-0.3340779606597338,-0.33235706584721714,-0.6483711055322058,-0.5144172297208053,-0.013250325582798534
B55_mean,0.08586985491210115,-0.3649326650251892,-0.3455318432861016,-0.10385595438690667,-0.5534461178015314,-0.434857153454807,-0.25521941258067704,-0.37050020374556386,-0.633906714595843,-0.5751760271640782,-0.07481229039366961
B56_mean,0.15091192360306002,-0.29692093978876516,-0.2883300736948216,-0.0349811771047805,-0.5266233544097942,-0.5070281032054342,-0.21645922979836277,-0.40867812684146115,-0.5991737152297244,-0.6013085598048328,-0.09765964049573247
B57_mean,0.11528494446641738,-0.30078123536644813,-0.2978220034437598,-0.047635774811739875,-0.6206238989121083,-0.37614332949740237,-0.23509829148124503,-0.456599292052491,-0.6076401743208099,-0.6113807376911102,-0.08655379018298909
B58_mean,0.09936209400506142,-0.2889453774909087,-0.30170781552952963,-0.11774761441353787,-0.6747277978525696,-0.4253586909309311,-0.2229285974061724,-0.48000485143902066,-0.6090706049878739,-0.7516582252692616,-0.0889257813372584
B59_mean,0.7299466284815936,0.11947352922353417,0.02708122128531871,0.242271613884757,0.17165387818754563,-1.1708700548023736,0.07392255609171465,-0.36735532496205636,-0.4207859432075676,-0.5404148281957764,-0.32648377334390105
B60_mean,0.09544653437800539,-0.26077654731342753,-0.2780926509760331,0.018833808071867637,-0.6783701134381179,-0.40811382928935835,-0.23704635927104006,-0.479734217819879,-0.5858118322897373,-0.5899415096853456,-0.07424688472921404
