age (ka),Wm2
0.00,494.64
0.10,494.71
0.20,494.77
0.30,494.81
0.40,494.84
0.50,494.85
0.60,494.85
0.70,494.84
0.80,494.81
0.90,494.76
1.00,494.70
1.10,494.63
1.20,494.53
1.30,494.42
1.40,494.30
1.50,494.16
1.60,494.00
1.70,493.84
1.80,493.65
1.90,493.46
2.00,493.25
2.10,493.03
2.20,492.79
2.30,492.54
2.40,492.29
2.50,492.02
2.60,491.73
2.70,491.44
2.80,491.14
2.90,490.82
3.00,490.50
3.10,490.17
3.20,489.82
3.30,489.47
3.40,489.11
3.50,488.74
3.60,488.36
3.70,487.97
3.80,487.57
3.90,487.17
4.00,486.75
4.10,486.32
4.20,485.89
4.30,485.45
4.40,485.00
4.50,484.55
4.60,484.09
4.70,483.63
4.80,483.17
4.90,482.70
5.00,482.24
5.10,481.77
5.20,481.31
5.30,480.84
5.40,480.37
5.50,479.91
5.60,479.44
5.70,478.98
5.80,478.52
5.90,478.06
6.00,477.60
6.10,477.15
6.20,476.70
6.30,476.26
6.40,475.82
6.50,475.38
6.60,474.95
6.70,474.53
6.80,474.11
6.90,473.70
7.00,473.29
7.10,472.89
7.20,472.49
7.30,472.10
7.40,471.72
7.50,471.35
7.60,470.98
7.70,470.62
7.80,470.28
7.90,469.94
8.00,469.62
8.10,469.30
8.20,469.00
8.30,468.72
8.40,468.44
8.50,468.18
8.60,467.93
8.70,467.69
8.80,467.46
8.90,467.25
9.00,467.05
9.10,466.87
9.20,466.70
9.30,466.54
9.40,466.39
9.50,466.26
9.60,466.14
9.70,466.03
9.80,465.93
9.90,465.84
10.00,465.76
10.10,465.70
10.20,465.64
10.30,465.60
10.40,465.57
10.50,465.56
10.60,465.56
10.70,465.57
10.80,465.60
10.90,465.64
11.00,465.69
11.10,465.76
11.20,465.85
11.30,465.95
11.40,466.06
11.50,466.18
11.60,466.32
11.70,466.47
11.80,466.63
11.90,466.80
12.00,466.98
12.10,467.17
12.20,467.38
12.30,467.59
12.40,467.81
12.50,468.05
12.60,468.29
12.70,468.55
12.80,468.81
12.90,469.08
13.00,469.36
13.10,469.65
13.20,469.95
13.30,470.26
13.40,470.57
13.50,470.89
13.60,471.22
13.70,471.56
13.80,471.90
13.90,472.25
14.00,472.61
14.10,472.97
14.20,473.35
14.30,473.72
14.40,474.11
14.50,474.50
14.60,474.89
14.70,475.29
14.80,475.70
14.90,476.11
15.00,476.52
15.10,476.93
15.20,477.35
15.30,477.77
15.40,478.19
15.50,478.61
15.60,479.04
15.70,479.46
15.80,479.88
15.90,480.31
16.00,480.73
16.10,481.15
16.20,481.57
16.30,481.99
16.40,482.40
16.50,482.82
16.60,483.23
16.70,483.64
16.80,484.04
16.90,484.45
17.00,484.85
17.10,485.25
17.20,485.65
17.30,486.04
17.40,486.42
17.50,486.81
17.60,487.18
17.70,487.55
17.80,487.92
17.90,488.28
18.00,488.63
18.10,488.98
18.20,489.32
18.30,489.65
18.40,489.97
18.50,490.29
18.60,490.59
18.70,490.89
18.80,491.17
18.90,491.44
19.00,491.71
19.10,491.96
19.20,492.19
19.30,492.42
19.40,492.64
19.50,492.84
19.60,493.03
19.70,493.21
19.80,493.38
19.90,493.54
20.00,493.69
20.10,493.83
20.20,493.96
20.30,494.08
20.40,494.18
20.50,494.27
20.60,494.35
20.70,494.42
20.80,494.47
20.90,494.51
21.00,494.54
21.10,494.55
21.20,494.54
21.30,494.53
21.40,494.49
21.50,494.45
21.60,494.39
21.70,494.31
21.80,494.22
21.90,494.12
22.00,494.00
22.10,493.87
22.20,493.72
22.30,493.56
22.40,493.39
22.50,493.20
22.60,493.00
22.70,492.79
22.80,492.57
22.90,492.33
23.00,492.09
23.10,491.83
23.20,491.55
23.30,491.27
23.40,490.98
23.50,490.68
23.60,490.36
23.70,490.04
23.80,489.71
23.90,489.37
24.00,489.02
24.10,488.66
24.20,488.29
24.30,487.92
24.40,487.53
24.50,487.14
24.60,486.74
24.70,486.33
24.80,485.91
24.90,485.49
25.00,485.05
25.10,484.61
25.20,484.16
25.30,483.70
25.40,483.24
25.50,482.78
25.60,482.32
25.70,481.85
25.80,481.38
25.90,480.91
26.00,480.44
26.10,479.98
26.20,479.52
26.30,479.06
26.40,478.60
26.50,478.14
26.60,477.68
26.70,477.22
26.80,476.76
26.90,476.31
27.00,475.85
27.10,475.40
27.20,474.94
27.30,474.49
27.40,474.05
27.50,473.60
27.60,473.16
27.70,472.73
27.80,472.30
27.90,471.88
28.00,471.46
28.10,471.06
28.20,470.66
28.30,470.26
28.40,469.88
28.50,469.50
28.60,469.14
28.70,468.78
28.80,468.43
28.90,468.09
29.00,467.75
29.10,467.43
29.20,467.12
29.30,466.82
29.40,466.52
29.50,466.24
29.60,465.97
29.70,465.70
29.80,465.45
29.90,465.21
30.00,464.98
30.10,464.76
30.20,464.55
30.30,464.36
30.40,464.17
30.50,463.99
30.60,463.83
30.70,463.67
30.80,463.53
30.90,463.40
31.00,463.27
31.10,463.16
31.20,463.06
31.30,462.96
31.40,462.88
31.50,462.81
31.60,462.75
31.70,462.70
31.80,462.67
31.90,462.65
32.00,462.63
32.10,462.64
32.20,462.65
32.30,462.68
32.40,462.71
32.50,462.76
32.60,462.81
32.70,462.88
32.80,462.96
32.90,463.04
33.00,463.14
33.10,463.24
33.20,463.35
33.30,463.47
33.40,463.60
33.50,463.74
33.60,463.89
33.70,464.05
33.80,464.21
33.90,464.38
34.00,464.56
34.10,464.75
34.20,464.94
34.30,465.14
34.40,465.35
34.50,465.57
34.60,465.79
34.70,466.03
34.80,466.26
34.90,466.51
35.00,466.76
35.10,467.02
35.20,467.29
35.30,467.56
35.40,467.84
35.50,468.13
35.60,468.42
35.70,468.72
35.80,469.02
35.90,469.32
36.00,469.63
36.10,469.95
36.20,470.26
36.30,470.58
36.40,470.91
36.50,471.23
36.60,471.56
36.70,471.89
36.80,472.22
36.90,472.56
37.00,472.90
37.10,473.24
37.20,473.57
37.30,473.92
37.40,474.26
37.50,474.61
37.60,474.95
37.70,475.30
37.80,475.65
37.90,476.01
38.00,476.36
38.10,476.72
38.20,477.08
38.30,477.44
38.40,477.81
38.50,478.17
38.60,478.53
38.70,478.89
38.80,479.25
38.90,479.60
39.00,479.96
39.10,480.31
39.20,480.66
39.30,481.01
39.40,481.36
39.50,481.70
39.60,482.04
39.70,482.38
39.80,482.72
39.90,483.06
40.00,483.39
40.10,483.72
40.20,484.05
40.30,484.38
40.40,484.70
40.50,485.02
40.60,485.34
40.70,485.66
40.80,485.97
40.90,486.28
41.00,486.59
41.10,486.89
41.20,487.19
41.30,487.49
41.40,487.78
41.50,488.07
41.60,488.36
41.70,488.64
41.80,488.91
41.90,489.18
42.00,489.45
42.10,489.71
42.20,489.97
42.30,490.22
42.40,490.46
42.50,490.70
42.60,490.93
42.70,491.16
42.80,491.39
42.90,491.60
43.00,491.81
43.10,492.02
43.20,492.21
43.30,492.40
43.40,492.59
43.50,492.77
43.60,492.95
43.70,493.12
43.80,493.28
43.90,493.44
44.00,493.59
44.10,493.75
44.20,493.89
44.30,494.04
44.40,494.17
44.50,494.30
44.60,494.42
44.70,494.53
44.80,494.64
44.90,494.74
45.00,494.83
45.10,494.91
45.20,494.98
45.30,495.04
45.40,495.10
45.50,495.15
45.60,495.19
45.70,495.22
45.80,495.25
45.90,495.27
46.00,495.29
46.10,495.30
46.20,495.30
46.30,495.30
46.40,495.29
46.50,495.27
46.60,495.25
46.70,495.21
46.80,495.18
46.90,495.13
47.00,495.08
47.10,495.02
47.20,494.95
47.30,494.87
47.40,494.79
47.50,494.70
47.60,494.60
47.70,494.49
47.80,494.38
47.90,494.26
48.00,494.13
48.10,494.00
48.20,493.86
48.30,493.71
48.40,493.55
48.50,493.39
48.60,493.22
48.70,493.04
48.80,492.86
48.90,492.67
49.00,492.46
49.10,492.25
49.20,492.03
49.30,491.81
49.40,491.58
49.50,491.34
49.60,491.10
49.70,490.85
49.80,490.59
49.90,490.33
50.00,490.07
50.10,489.81
50.20,489.54
50.30,489.27
50.40,488.99
50.50,488.71
50.60,488.42
50.70,488.13
50.80,487.83
50.90,487.52
51.00,487.21
51.10,486.88
51.20,486.56
51.30,486.22
51.40,485.88
51.50,485.54
51.60,485.19
51.70,484.84
51.80,484.48
51.90,484.13
52.00,483.77
52.10,483.41
52.20,483.04
52.30,482.68
52.40,482.31
52.50,481.95
52.60,481.58
52.70,481.21
52.80,480.84
52.90,480.47
53.00,480.10
53.10,479.73
53.20,479.36
53.30,478.98
53.40,478.61
53.50,478.24
53.60,477.86
53.70,477.49
53.80,477.12
53.90,476.74
54.00,476.37
54.10,476.00
54.20,475.63
54.30,475.26
54.40,474.89
54.50,474.52
54.60,474.16
54.70,473.80
54.80,473.44
54.90,473.09
55.00,472.74
55.10,472.39
55.20,472.05
55.30,471.71
55.40,471.38
55.50,471.05
55.60,470.73
55.70,470.42
55.80,470.11
55.90,469.80
56.00,469.51
56.10,469.22
56.20,468.94
56.30,468.66
56.40,468.39
56.50,468.13
56.60,467.87
56.70,467.62
56.80,467.38
56.90,467.14
57.00,466.91
57.10,466.69
57.20,466.47
57.30,466.26
57.40,466.06
57.50,465.86
57.60,465.68
57.70,465.50
57.80,465.34
57.90,465.18
58.00,465.04
58.10,464.90
58.20,464.78
58.30,464.66
58.40,464.56
58.50,464.46
58.60,464.38
58.70,464.30
58.80,464.24
58.90,464.18
59.00,464.14
59.10,464.11
59.20,464.08
59.30,464.07
59.40,464.07
59.50,464.08
59.60,464.09
59.70,464.12
59.80,464.16
59.90,464.21
60.00,464.26
60.10,464.33
60.20,464.40
60.30,464.49
60.40,464.58
60.50,464.69
60.60,464.80
60.70,464.93
60.80,465.07
60.90,465.22
61.00,465.37
61.10,465.54
61.20,465.73
61.30,465.92
61.40,466.12
61.50,466.33
61.60,466.55
61.70,466.78
61.80,467.02
61.90,467.27
62.00,467.53
62.10,467.80
62.20,468.07
62.30,468.35
62.40,468.64
62.50,468.94
62.60,469.25
62.70,469.57
62.80,469.89
62.90,470.22
63.00,470.56
63.10,470.90
63.20,471.25
63.30,471.61
63.40,471.98
63.50,472.35
63.60,472.73
63.70,473.11
63.80,473.50
63.90,473.90
64.00,474.30
64.10,474.70
64.20,475.11
64.30,475.52
64.40,475.94
64.50,476.36
64.60,476.79
64.70,477.21
64.80,477.65
64.90,478.08
65.00,478.52
65.10,478.96
65.20,479.41
65.30,479.86
65.40,480.31
65.50,480.76
65.60,481.21
65.70,481.67
65.80,482.12
65.90,482.57
66.00,483.02
66.10,483.46
66.20,483.90
66.30,484.34
66.40,484.78
66.50,485.21
66.60,485.64
66.70,486.07
66.80,486.50
66.90,486.92
67.00,487.34
67.10,487.75
67.20,488.17
67.30,488.58
67.40,488.98
67.50,489.38
67.60,489.78
67.70,490.16
67.80,490.55
67.90,490.92
68.00,491.28
68.10,491.64
68.20,491.99
68.30,492.32
68.40,492.65
68.50,492.97
68.60,493.28
68.70,493.57
68.80,493.86
68.90,494.13
69.00,494.40
69.10,494.65
69.20,494.89
69.30,495.12
69.40,495.33
69.50,495.53
69.60,495.73
69.70,495.90
69.80,496.07
69.90,496.22
70.00,496.36
70.10,496.48
70.20,496.59
70.30,496.68
70.40,496.76
70.50,496.82
70.60,496.87
70.70,496.90
70.80,496.92
70.90,496.92
71.00,496.90
71.10,496.88
71.20,496.83
71.30,496.77
71.40,496.69
71.50,496.60
71.60,496.48
71.70,496.36
71.80,496.21
71.90,496.04
72.00,495.86
72.10,495.66
72.20,495.44
72.30,495.20
72.40,494.95
72.50,494.68
72.60,494.39
72.70,494.09
72.80,493.78
72.90,493.45
73.00,493.10
73.10,492.75
73.20,492.37
73.30,491.99
73.40,491.59
73.50,491.18
73.60,490.75
